datetime,symbol,open,high,low,close,volume
2026-02-18 21:15:00,CBOT:YM1!,49726.0,49727.0,49703.0,49714.0,269.0
2026-02-18 21:30:00,CBOT:YM1!,49713.0,49717.0,49702.0,49712.0,242.0
2026-02-18 21:45:00,CBOT:YM1!,49712.0,49720.0,49690.0,49710.0,396.0
2026-02-18 23:00:00,CBOT:YM1!,49697.0,49756.0,49681.0,49750.0,139.0
2026-02-18 23:15:00,CBOT:YM1!,49746.0,49746.0,49722.0,49735.0,75.0
2026-02-18 23:30:00,CBOT:YM1!,49735.0,49744.0,49726.0,49730.0,77.0
2026-02-18 23:45:00,CBOT:YM1!,49724.0,49736.0,49711.0,49715.0,132.0
2026-02-19 00:00:00,CBOT:YM1!,49717.0,49720.0,49694.0,49707.0,129.0
2026-02-19 00:15:00,CBOT:YM1!,49707.0,49708.0,49679.0,49682.0,213.0
2026-02-19 00:30:00,CBOT:YM1!,49682.0,49700.0,49677.0,49681.0,195.0
2026-02-19 00:45:00,CBOT:YM1!,49680.0,49691.0,49676.0,49683.0,251.0
2026-02-19 01:00:00,CBOT:YM1!,49681.0,49741.0,49675.0,49740.0,319.0
2026-02-19 01:15:00,CBOT:YM1!,49737.0,49740.0,49713.0,49714.0,163.0
2026-02-19 01:30:00,CBOT:YM1!,49716.0,49724.0,49689.0,49710.0,213.0
2026-02-19 01:45:00,CBOT:YM1!,49709.0,49726.0,49698.0,49723.0,191.0
2026-02-19 02:00:00,CBOT:YM1!,49726.0,49738.0,49712.0,49729.0,144.0
2026-02-19 02:15:00,CBOT:YM1!,49736.0,49742.0,49721.0,49740.0,113.0
2026-02-19 02:30:00,CBOT:YM1!,49742.0,49745.0,49731.0,49743.0,100.0
2026-02-19 02:45:00,CBOT:YM1!,49743.0,49751.0,49728.0,49736.0,103.0
2026-02-19 03:00:00,CBOT:YM1!,49737.0,49744.0,49734.0,49736.0,77.0
2026-02-19 03:15:00,CBOT:YM1!,49736.0,49749.0,49730.0,49746.0,101.0
2026-02-19 03:30:00,CBOT:YM1!,49745.0,49751.0,49720.0,49723.0,174.0
2026-02-19 03:45:00,CBOT:YM1!,49725.0,49726.0,49705.0,49723.0,133.0
2026-02-19 04:00:00,CBOT:YM1!,49724.0,49733.0,49721.0,49728.0,84.0
2026-02-19 04:15:00,CBOT:YM1!,49723.0,49734.0,49710.0,49713.0,114.0
2026-02-19 04:30:00,CBOT:YM1!,49712.0,49722.0,49709.0,49713.0,93.0
2026-02-19 04:45:00,CBOT:YM1!,49715.0,49715.0,49696.0,49697.0,61.0
2026-02-19 04:45:00,CBOT:YM1!,49715.0,49715.0,49696.0,49698.0,93.0
2026-02-19 05:00:00,CBOT:YM1!,49697.0,49701.0,49678.0,49695.0,148.0
2026-02-19 05:15:00,CBOT:YM1!,49697.0,49716.0,49694.0,49715.0,110.0
2026-02-19 05:30:00,CBOT:YM1!,49716.0,49728.0,49716.0,49724.0,160.0
2026-02-19 05:45:00,CBOT:YM1!,49727.0,49747.0,49727.0,49737.0,124.0
2026-02-19 06:00:00,CBOT:YM1!,49737.0,49746.0,49725.0,49732.0,93.0
2026-02-19 06:15:00,CBOT:YM1!,49730.0,49735.0,49723.0,49735.0,65.0
2026-02-19 06:30:00,CBOT:YM1!,49736.0,49755.0,49736.0,49745.0,229.0
2026-02-19 06:45:00,CBOT:YM1!,49742.0,49766.0,49739.0,49765.0,152.0
2026-02-19 07:00:00,CBOT:YM1!,49768.0,49779.0,49747.0,49774.0,202.0
2026-02-19 07:15:00,CBOT:YM1!,49773.0,49785.0,49766.0,49778.0,155.0
2026-02-19 07:30:00,CBOT:YM1!,49777.0,49788.0,49767.0,49772.0,139.0
2026-02-19 07:45:00,CBOT:YM1!,49771.0,49776.0,49739.0,49743.0,225.0
2026-02-19 08:00:00,CBOT:YM1!,49743.0,49763.0,49728.0,49760.0,556.0
2026-02-19 08:15:00,CBOT:YM1!,49758.0,49786.0,49757.0,49768.0,291.0
2026-02-19 08:30:00,CBOT:YM1!,49771.0,49781.0,49730.0,49738.0,258.0
2026-02-19 08:45:00,CBOT:YM1!,49738.0,49739.0,49657.0,49666.0,487.0
2026-02-19 09:00:00,CBOT:YM1!,49676.0,49692.0,49655.0,49686.0,334.0
2026-02-19 09:15:00,CBOT:YM1!,49684.0,49694.0,49652.0,49659.0,449.0
2026-02-19 09:30:00,CBOT:YM1!,49659.0,49673.0,49630.0,49634.0,481.0
2026-02-19 09:45:00,CBOT:YM1!,49634.0,49634.0,49585.0,49630.0,725.0
2026-02-19 10:00:00,CBOT:YM1!,49628.0,49628.0,49517.0,49519.0,1626.0
2026-02-19 10:15:00,CBOT:YM1!,49520.0,49560.0,49520.0,49531.0,490.0
2026-02-19 10:15:00,CBOT:YM1!,49520.0,49560.0,49520.0,49531.0,425.0
2026-02-19 10:30:00,CBOT:YM1!,49533.0,49551.0,49520.0,49547.0,325.0
2026-02-19 10:45:00,CBOT:YM1!,49548.0,49560.0,49524.0,49530.0,304.0
2026-02-19 10:45:00,CBOT:YM1!,49548.0,49560.0,49524.0,49540.0,387.0
2026-02-19 11:00:00,CBOT:YM1!,49543.0,49571.0,49524.0,49558.0,422.0
2026-02-19 11:15:00,CBOT:YM1!,49558.0,49581.0,49543.0,49571.0,394.0
2026-02-19 11:30:00,CBOT:YM1!,49572.0,49585.0,49562.0,49570.0,193.0
2026-02-19 11:45:00,CBOT:YM1!,49570.0,49588.0,49544.0,49583.0,352.0
2026-02-19 12:00:00,CBOT:YM1!,49582.0,49593.0,49522.0,49585.0,979.0
2026-02-19 12:15:00,CBOT:YM1!,49587.0,49633.0,49583.0,49616.0,565.0
2026-02-19 12:30:00,CBOT:YM1!,49615.0,49637.0,49593.0,49629.0,347.0
2026-02-19 12:45:00,CBOT:YM1!,49630.0,49633.0,49605.0,49611.0,406.0
2026-02-19 13:00:00,CBOT:YM1!,49612.0,49616.0,49579.0,49592.0,558.0
2026-02-19 13:15:00,CBOT:YM1!,49594.0,49599.0,49541.0,49556.0,693.0
2026-02-19 13:30:00,CBOT:YM1!,49562.0,49602.0,49520.0,49568.0,1244.0
2026-02-19 13:45:00,CBOT:YM1!,49564.0,49590.0,49547.0,49551.0,441.0
2026-02-19 14:00:00,CBOT:YM1!,49552.0,49563.0,49520.0,49546.0,601.0
2026-02-19 14:15:00,CBOT:YM1!,49546.0,49579.0,49537.0,49577.0,1357.0
2026-02-19 14:30:00,CBOT:YM1!,49577.0,49624.0,49403.0,49581.0,13116.0
2026-02-19 14:45:00,CBOT:YM1!,49585.0,49615.0,49486.0,49545.0,5662.0
2026-02-19 15:00:00,CBOT:YM1!,49546.0,49610.0,49452.0,49487.0,4858.0
2026-02-19 15:15:00,CBOT:YM1!,49486.0,49625.0,49485.0,49530.0,4281.0
2026-02-19 15:30:00,CBOT:YM1!,49528.0,49673.0,49512.0,49648.0,3694.0
2026-02-19 15:45:00,CBOT:YM1!,49645.0,49666.0,49532.0,49591.0,2806.0
2026-02-19 16:00:00,CBOT:YM1!,49589.0,49602.0,49496.0,49528.0,1817.0
2026-02-19 16:15:00,CBOT:YM1!,49530.0,49591.0,49453.0,49460.0,2046.0
2026-02-19 16:30:00,CBOT:YM1!,49462.0,49542.0,49437.0,49442.0,1881.0
2026-02-19 16:45:00,CBOT:YM1!,49440.0,49467.0,49377.0,49402.0,1406.0
2026-02-19 16:45:00,CBOT:YM1!,49440.0,49469.0,49377.0,49439.0,2919.0
2026-02-19 17:00:00,CBOT:YM1!,49441.0,49450.0,49353.0,49426.0,2615.0
2026-02-19 17:15:00,CBOT:YM1!,49428.0,49526.0,49411.0,49470.0,2014.0
2026-02-19 17:30:00,CBOT:YM1!,49467.0,49489.0,49431.0,49456.0,1407.0
2026-02-19 17:45:00,CBOT:YM1!,49458.0,49459.0,49330.0,49354.0,2572.0
2026-02-19 18:00:00,CBOT:YM1!,49350.0,49384.0,49300.0,49375.0,1916.0
2026-02-19 18:15:00,CBOT:YM1!,49375.0,49375.0,49258.0,49302.0,2137.0
2026-02-19 18:30:00,CBOT:YM1!,49301.0,49349.0,49279.0,49346.0,1542.0
2026-02-19 18:45:00,CBOT:YM1!,49350.0,49415.0,49349.0,49405.0,1345.0
2026-02-19 19:00:00,CBOT:YM1!,49403.0,49453.0,49394.0,49417.0,1469.0
2026-02-19 19:15:00,CBOT:YM1!,49419.0,49442.0,49380.0,49398.0,1114.0
2026-02-19 19:30:00,CBOT:YM1!,49400.0,49408.0,49289.0,49337.0,1879.0
2026-02-19 19:45:00,CBOT:YM1!,49334.0,49365.0,49318.0,49334.0,1251.0
2026-02-19 20:00:00,CBOT:YM1!,49337.0,49427.0,49335.0,49425.0,1357.0
2026-02-19 20:15:00,CBOT:YM1!,49423.0,49429.0,49380.0,49392.0,1370.0
2026-02-19 20:30:00,CBOT:YM1!,49393.0,49435.0,49384.0,49412.0,1376.0
2026-02-19 20:45:00,CBOT:YM1!,49414.0,49465.0,49406.0,49462.0,3935.0
2026-02-19 21:00:00,CBOT:YM1!,49461.0,49468.0,49432.0,49459.0,1320.0
2026-02-19 21:15:00,CBOT:YM1!,49457.0,49494.0,49436.0,49467.0,655.0
2026-02-19 21:30:00,CBOT:YM1!,49466.0,49466.0,49429.0,49429.0,200.0
2026-02-19 21:45:00,CBOT:YM1!,49428.0,49434.0,49420.0,49421.0,191.0
2026-02-19 23:00:00,CBOT:YM1!,49432.0,49460.0,49427.0,49448.0,192.0
2026-02-19 23:15:00,CBOT:YM1!,49448.0,49468.0,49448.0,49462.0,98.0
2026-02-19 23:30:00,CBOT:YM1!,49462.0,49482.0,49462.0,49469.0,140.0
2026-02-19 23:45:00,CBOT:YM1!,49472.0,49479.0,49458.0,49466.0,81.0
2026-02-20 00:00:00,CBOT:YM1!,49467.0,49480.0,49446.0,49470.0,185.0
2026-02-20 00:15:00,CBOT:YM1!,49469.0,49474.0,49442.0,49470.0,277.0
2026-02-20 00:30:00,CBOT:YM1!,49471.0,49495.0,49471.0,49490.0,228.0
2026-02-20 00:45:00,CBOT:YM1!,49491.0,49496.0,49485.0,49491.0,105.0
2026-02-20 01:00:00,CBOT:YM1!,49492.0,49527.0,49489.0,49519.0,285.0
2026-02-20 01:15:00,CBOT:YM1!,49518.0,49518.0,49499.0,49511.0,213.0
2026-02-20 01:30:00,CBOT:YM1!,49510.0,49510.0,49494.0,49501.0,157.0
2026-02-20 01:45:00,CBOT:YM1!,49500.0,49504.0,49489.0,49498.0,212.0
2026-02-20 02:00:00,CBOT:YM1!,49499.0,49528.0,49498.0,49500.0,284.0
2026-02-20 02:15:00,CBOT:YM1!,49501.0,49505.0,49488.0,49491.0,147.0
2026-02-20 02:30:00,CBOT:YM1!,49492.0,49507.0,49492.0,49498.0,143.0
2026-02-20 02:45:00,CBOT:YM1!,49496.0,49512.0,49485.0,49512.0,108.0
2026-02-20 03:00:00,CBOT:YM1!,49512.0,49523.0,49509.0,49517.0,124.0
2026-02-20 03:15:00,CBOT:YM1!,49517.0,49518.0,49508.0,49510.0,47.0
2026-02-20 03:30:00,CBOT:YM1!,49509.0,49513.0,49500.0,49501.0,70.0
